Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,labels
-62.4725,-60.875,-67.71499999999999,-67.32666666666665,-62.7675,-66.3375,-64.80000000000001,3
-71.7825,-71.41499999999999,-71.88250000000001,-73.42,-72.705,-72.9425,-73.41499999999999,5
-53.9925,-56.59,-58.059999999999995,-53.23,-54.3425,-62.135,-55.615,0
-64.3275,-65.405,-72.0725,-66.91666666666667,-68.03500000000001,-69.7175,-69.065,5
-71.185,-65.8325,-77.03,-71.26,-64.01,-69.0525,-64.44,5
-53.915000000000006,-55.28,-59.82749999999999,-55.85333333333333,-57.307500000000005,-58.92,-57.91,4
-55.1425,-57.3125,-60.4775,-59.84,-63.07000000000001,-57.475,-59.644999999999996,0
-52.31,-57.85000000000001,-61.722500000000004,-52.06,-58.602500000000006,-59.707499999999996,-56.9,0
-55.88999999999999,-55.144999999999996,-58.300000000000004,-58.98,-56.01,-57.3875,-56.875,4
-58.305,-55.69,-59.6875,-62.97,-55.5725,-57.335,-55.995000000000005,4
-66.4075,-64.8725,-57.6175,-69.16666666666667,-62.832499999999996,-58.4875,-60.455,1
-55.485,-55.037499999999994,-57.839999999999996,-58.28333333333333,-56.12,-56.395,-56.2,4
-65.3425,-63.4925,-58.79,-67.85333333333334,-58.7625,-55.8125,-56.629999999999995,6
-59.265,-60.010000000000005,-62.1225,-60.873333333333335,-61.3025,-60.53999999999999,-60.785,0
-57.2225,-57.8775,-60.209999999999994,-59.20333333333334,-59.0975,-58.535000000000004,-58.535,0
-55.945,-54.71,-58.35,-59.453333333333326,-55.557500000000005,-56.7975,-56.14,4
-58.875,-57.71000000000001,-58.44,-60.92666666666667,-57.949999999999996,-58.6375,-58.6,0
-63.88250000000001,-60.3275,-56.92,-67.78333333333333,-57.410000000000004,-55.3625,-55.644999999999996,6
-58.527499999999996,-56.072500000000005,-60.8225,-63.07333333333333,-56.0375,-58.155,-56.58,4
-59.337500000000006,-60.760000000000005,-64.98750000000001,-60.373333333333335,-63.1575,-63.2325,-63.435,0
-57.019999999999996,-58.7025,-59.9275,-57.27,-58.292500000000004,-57.17,-57.05,0
-63.16,-60.585,-56.512499999999996,-65.75666666666667,-57.88250000000001,-55.4825,-56.019999999999996,6
-59.074999999999996,-58.837500000000006,-61.28999999999999,-60.56666666666666,-60.182500000000005,-61.3975,-61.2,0
-68.25999999999999,-69.6175,-77.0825,-70.24666666666667,-72.06,-73.3625,-72.53,5
-56.5025,-59.332499999999996,-64.545,-54.35,-61.614999999999995,-63.7625,-62.22,0
-53.825,-54.917500000000004,-58.755,-56.48,-56.145,-58.254999999999995,-56.68,4
-55.08749999999999,-54.175,-58.5475,-57.53,-54.9775,-57.56,-56.035,4
-56.3425,-55.6875,-58.482499999999995,-59.60333333333333,-56.6325,-57.525,-57.32,4
-64.015,-66.535,-69.24249999999999,-64.44666666666667,-67.14750000000001,-68.235,-67.365,3
-56.495000000000005,-59.557500000000005,-62.309999999999995,-56.28,-60.055,-62.427499999999995,-60.815,0
-55.057500000000005,-56.932500000000005,-61.675,-55.97333333333333,-60.072500000000005,-59.807500000000005,-60.235,0
-74.67249999999999,-73.155,-67.2625,-77.28666666666668,-72.065,-67.79999999999998,-69.49,2
-55.545,-56.567499999999995,-55.942499999999995,-56.15333333333333,-57.3275,-55.42250000000001,-56.385000000000005,0
-67.685,-67.86,-67.4475,-70.35000000000001,-69.6925,-68.3225,-69.55000000000001,5
-60.037499999999994,-59.995,-63.1575,-61.169999999999995,-61.565,-63.18000000000001,-62.86,0
-54.772499999999994,-55.8,-60.25,-56.843333333333334,-57.3025,-58.9025,-57.435,4
-58.06,-57.32000000000001,-59.0525,-59.66,-58.0,-59.1,-58.89,0
-55.115,-56.9275,-61.74,-55.98333333333333,-60.0525,-60.045,-60.41,0
-67.92,-68.95,-67.985,-69.54333333333334,-70.2525,-67.26750000000001,-68.685,5
-57.53,-60.722500000000004,-63.987500000000004,-57.82666666666666,-61.18,-63.977500000000006,-62.015,0
-62.2375,-64.1525,-69.5725,-66.88333333333334,-65.515,-68.0875,-66.32499999999999,3
-69.02,-70.7275,-73.4025,-70.24666666666667,-72.235,-71.235,-71.4,5
-74.765,-73.465,-67.5275,-78.15333333333332,-72.5475,-69.1575,-71.065,2
-58.0475,-59.2325,-59.73500000000001,-58.6,-59.81249999999999,-59.5275,-59.975,0
-64.4625,-66.2325,-71.3725,-66.38333333333333,-74.275,-65.885,-68.67500000000001,3
-58.857499999999995,-59.717499999999994,-61.365,-60.98333333333333,-61.0575,-59.7975,-60.30500000000001,0
-62.975,-65.3,-68.95750000000001,-64.21333333333332,-66.55749999999999,-68.285,-66.57,3
-63.2275,-62.06,-58.44499999999999,-66.68,-61.582499999999996,-58.925,-60.254999999999995,1
-59.05499999999999,-60.085,-59.66,-60.98,-60.1775,-59.695,-60.114999999999995,0
-79.7925,-81.3325,-82.4,-79.54333333333334,-82.5675,-82.86500000000001,-83.47,7
-54.08500000000001,-58.525,-59.6825,-55.126666666666665,-58.445,-60.94,-60.39,0
-58.7125,-58.14,-57.825,-61.413333333333334,-58.2325,-57.55,-58.05,0
-60.3925,-62.4675,-70.3775,-61.05333333333334,-63.995000000000005,-66.9775,-65.2,3
-51.99250000000001,-51.772499999999994,-59.0475,-55.77,-54.075,-57.39,-55.53,4
-55.47,-54.9825,-55.145,-59.09,-56.480000000000004,-56.0475,-57.125,4
-56.205,-59.720000000000006,-63.845,-55.843333333333334,-60.565,-63.832499999999996,-61.475,0
-79.9425,-78.37,-77.07,-80.45666666666666,-78.755,-78.7175,-79.63,2
-58.262499999999996,-60.7975,-63.1775,-58.876666666666665,-61.315,-63.335,-61.980000000000004,0
-55.78249999999999,-59.902499999999996,-63.474999999999994,-55.02666666666667,-60.315,-63.5175,-61.695,0
-70.36,-68.935,-68.275,-72.57000000000001,-68.9075,-68.80250000000001,-68.985,5
-62.864999999999995,-67.265,-72.4125,-61.96333333333333,-68.6375,-70.47749999999999,-70.43,5
-57.0975,-55.455,-58.652499999999996,-60.629999999999995,-55.615,-56.597500000000004,-55.78,4
-59.714999999999996,-55.4325,-58.8975,-65.32333333333334,-54.155,-56.11000000000001,-54.44,4
-75.85249999999999,-78.36250000000001,-73.49249999999999,-75.05666666666667,-76.885,-72.815,-73.93,2
